Début du scan avec comme paramètres : 
Protocole : TCP		 Nom d'hôte : 127.0.0.1
Port de début : 1		 Timeout Max. socket : 2
Port de fin : 10234		 Execution parallèle : Non

2023-04-12 14:26:37.299440	Port 1	Fermé
2023-04-12 14:26:37.299571	Port 2	Fermé
2023-04-12 14:26:37.299699	Port 3	Fermé
2023-04-12 14:26:37.299797	Port 4	Fermé
2023-04-12 14:26:37.299885	Port 5	Fermé
2023-04-12 14:26:37.299971	Port 6	Fermé
2023-04-12 14:26:37.300054	Port 7	Fermé
2023-04-12 14:26:37.300143	Port 8	Fermé
2023-04-12 14:26:37.300183	Port 9	Fermé
2023-04-12 14:26:37.300221	Port 10	Fermé
2023-04-12 14:26:37.300260	Port 11	Fermé
2023-04-12 14:26:37.300297	Port 12	Fermé
2023-04-12 14:26:37.300336	Port 13	Fermé
2023-04-12 14:26:37.300374	Port 14	Fermé
2023-04-12 14:26:37.300412	Port 15	Fermé
2023-04-12 14:26:37.300449	Port 16	Fermé
2023-04-12 14:26:37.300487	Port 17	Fermé
2023-04-12 14:26:37.300528	Port 18	Fermé
2023-04-12 14:26:37.300567	Port 19	Fermé
2023-04-12 14:26:37.300607	Port 20	Fermé
2023-04-12 14:26:37.300649	Port 21	Fermé
2023-04-12 14:26:37.300707	Port 22	Ouvert
2023-04-12 14:26:37.300751	Port 23	Fermé
2023-04-12 14:26:37.300790	Port 24	Fermé
2023-04-12 14:26:37.300829	Port 25	Fermé
2023-04-12 14:26:37.300868	Port 26	Fermé
2023-04-12 14:26:37.300909	Port 27	Fermé
2023-04-12 14:26:37.300949	Port 28	Fermé
2023-04-12 14:26:37.300994	Port 29	Fermé
2023-04-12 14:26:37.301034	Port 30	Fermé
2023-04-12 14:26:37.301074	Port 31	Fermé
2023-04-12 14:26:37.301113	Port 32	Fermé
2023-04-12 14:26:37.301151	Port 33	Fermé
2023-04-12 14:26:37.301189	Port 34	Fermé
2023-04-12 14:26:37.301227	Port 35	Fermé
2023-04-12 14:26:37.301266	Port 36	Fermé
2023-04-12 14:26:37.301306	Port 37	Fermé
