Début du scan avec comme paramètres : 
Protocole : TCP		 Nom d'hôte : 127.0.0.1
Port de début : 1		 Timeout Max. socket : 2
Port de fin : 65000		 Execution parallèle : Oui

Port 1		Fermé
Port 2		Fermé
Port 3		Fermé
Port 4		Fermé
Port 5		Fermé
Port 6		Fermé
Port 7		Fermé
Port 8		Fermé
Port 9		Fermé
Port 10		Fermé
Port 11		Fermé
Port 12		Fermé
Port 13		Fermé
Port 14		Fermé
Port 15		Fermé
Port 16		Fermé
Port 17		Fermé
Port 18		Fermé
Port 19		Fermé
Port 20		Fermé
Port 21		Fermé
Port 22		Ouvert
Port 23		Fermé
Port 24		Fermé
Port 25		Fermé
Port 26		Fermé
Port 27		Fermé
Port 28		Fermé
Port 29		Fermé
Port 30		Fermé
Port 31		Fermé
Port 32		Fermé
Port 33		Fermé
Port 34		Fermé
Port 35		Fermé
Port 36		Fermé
Port 37		Fermé
Port 38		Fermé
Port 39		Fermé
Port 40		Fermé
Port 41		Fermé
Port 42		Fermé
Port 43		Fermé
Port 44		Fermé
Port 45		Fermé
Port 46		Fermé
Port 47		Fermé
Port 48		Fermé
Port 49		Fermé
Port 50		Fermé
Port 51		Fermé
Port 52		Fermé
Port 53		Fermé
Port 54		Fermé
Port 55		Fermé
Port 56		Fermé
Port 57		Fermé
Port 58		Fermé
Port 59		Fermé
Port 60		Fermé
Port 61		Fermé
Port 62		Fermé
Port 63		Fermé
Port 64		Fermé
Port 65		Fermé
Port 66		Fermé
Port 67		Fermé
Port 68		Fermé
Port 69		Fermé
Port 70		Fermé
Port 71		Fermé
Port 72		Fermé
Port 73		Fermé
Port 74		Fermé
Port 75		Fermé
Port 76		Fermé
Port 77		Fermé
Port 78		Fermé
Port 79		Fermé
Port 80		Fermé
Port 81		Fermé
Port 82		Fermé
Port 83		Fermé
Port 84		Fermé
Port 85		Fermé
Port 86		Fermé
Port 87		Fermé
Port 88		Fermé
Port 89		Fermé
Port 90		Fermé
Port 91		Fermé
Port 92		Fermé
Port 93		Fermé
Port 94		Fermé
Port 95		Fermé
Port 96		Fermé
Port 97		Fermé
Port 98		Fermé
Port 99		Fermé
Port 100		Fermé
Port 101		Fermé
Port 102		Fermé
Port 103		Fermé
Port 104		Fermé
Port 105		Fermé
Port 106		Fermé
Port 107		Fermé
Port 108		Fermé
Port 109		Fermé
Port 110		Fermé
Port 111		Fermé
Port 112		Fermé
Port 113		Fermé
Port 114		Fermé
Port 115		Fermé
Port 116		Fermé
Port 117		Fermé
Port 118		Fermé
Port 119		Fermé
Port 120		Fermé
Port 121		Fermé
Port 122		Fermé
Port 123		Fermé
Port 124		Fermé
Port 125		Fermé
Port 126		Fermé
Port 127		Fermé
Port 128		Fermé
Port 129		Fermé
Port 130		Fermé
Port 131		Fermé
Port 132		Fermé
Port 133		Fermé
Port 134		Fermé
Port 135		Fermé
Port 136		Fermé
Port 137		Fermé
Port 138		Fermé
Port 139		Fermé
Port 140		Fermé
Port 141		Fermé
Port 142		Fermé
Port 143		Fermé
Port 144		Fermé
Port 145		Fermé
Port 146		Fermé
Port 147		Fermé
Port 148		Fermé
Port 149		Fermé
Port 150		Fermé
Port 151		Fermé
Port 152		Fermé
Port 153		Fermé
Port 154		Fermé
Port 155		Fermé
Port 156		Fermé
Port 157		Fermé
Port 158		Fermé
Port 159		Fermé
Port 160		Fermé
Port 161		Fermé
Port 162		Fermé
Port 163		Fermé
Port 164		Fermé
Port 165		Fermé
Port 166		Fermé
Port 167		Fermé
Port 168		Fermé
Port 169		Fermé
Port 170		Fermé
Port 171		Fermé
Port 172		Fermé
Port 173		Fermé
Port 174		Fermé
Port 175		Fermé
Port 176		Fermé
Port 177		Fermé
Port 178		Fermé
Port 179		Fermé
Port 180		Fermé
Port 181		Fermé
Port 182		Fermé
Port 183		Fermé
Port 184		Fermé
Port 185		Fermé
Port 186		Fermé
Port 187		Fermé
Port 188		Fermé
Port 189		Fermé
Port 190		Fermé
Port 191		Fermé
Port 192		Fermé
Port 193		Fermé
Port 194		Fermé
Port 195		Fermé
Port 196		Fermé
Port 197		Fermé
Port 198		Fermé
Port 199		Fermé
Port 200		Fermé
Port 201		Fermé
Port 202		Fermé
Port 203		Fermé
Port 204		Fermé
Port 205		Fermé
Port 206		Fermé
Port 207		Fermé
Port 208		Fermé
Port 209		Fermé
Port 210		Fermé
Port 211		Fermé
Port 212		Fermé
Port 213		Fermé
Port 214		Fermé
Port 215		Fermé
Port 216		Fermé
Port 217		Fermé
Port 218		Fermé
Port 219		Fermé
Port 220		Fermé
Port 221		Fermé
Port 222		Fermé
Port 223		Fermé
Port 224		Fermé
Port 225		Fermé
Port 226		Fermé
Port 227		Fermé
Port 228		Fermé
Port 229		Fermé
Port 230		Fermé
Port 231		Fermé
Port 232		Fermé
Port 233		Fermé
Port 234		Fermé
Port 235		Fermé
Port 236		Fermé
Port 237		Fermé
Port 238		Fermé
Port 239		Fermé
Port 240		Fermé
Port 241		Fermé
Port 242		Fermé
Port 243		Fermé
Port 244		Fermé
Port 245		Fermé
Port 246		Fermé
Port 247		Fermé
Port 248		Fermé
Port 249		Fermé
Port 250		Fermé
Port 251		Fermé
Port 252		Fermé
Port 253		Fermé
Port 254		Fermé
Port 255		Fermé
Port 256		Fermé
Port 257		Fermé
Port 258		Fermé
Port 259		Fermé
Port 260		Fermé
Port 261		Fermé
Port 262		Fermé
Port 263		Fermé
Port 264		Fermé
Port 265		Fermé
Port 266		Fermé
Port 267		Fermé
Port 268		Fermé
Port 269		Fermé
Port 270		Fermé
Port 271		Fermé
Port 272		Fermé
Port 273		Fermé
Port 274		Fermé
Port 275		Fermé
Port 276		Fermé
Port 277		Fermé
Port 278		Fermé
Port 279		Fermé
Port 280		Fermé
Port 281		Fermé
Port 282		Fermé
Port 283		Fermé
Port 284		Fermé
Port 285		Fermé
Port 286		Fermé
Port 287		Fermé
Port 288		Fermé
Port 289		Fermé
Port 290		Fermé
Port 291		Fermé
Port 292		Fermé
Port 293		Fermé
Port 294		Fermé
Port 295		Fermé
Port 296		Fermé
Port 297		Fermé
Port 298		Fermé
Port 299		Fermé
Port 300		Fermé
Port 301		Fermé
Port 302		Fermé
Port 303		Fermé
Port 304		Fermé
Port 305		Fermé
Port 306		Fermé
Port 307		Fermé
Port 308		Fermé
Port 309		Fermé
Port 310		Fermé
Port 311		Fermé
Port 312		Fermé
Port 313		Fermé
Port 314		Fermé
Port 315		Fermé
Port 316		Fermé
Port 317		Fermé
Port 318		Fermé
Port 319		Fermé
Port 320		Fermé
Port 321		Fermé
Port 322		Fermé
Port 323		Fermé
Port 324		Fermé
Port 325		Fermé
Port 326		Fermé
Port 327		Fermé
Port 328		Fermé
Port 329		Fermé
Port 330		Fermé
Port 331		Fermé
Port 332		Fermé
Port 333		Fermé
Port 334		Fermé
Port 335		Fermé
Port 336		Fermé
Port 337		Fermé
Port 338		Fermé
Port 339		Fermé
Port 340		Fermé
Port 341		Fermé
Port 342		Fermé
Port 343		Fermé
Port 344		Fermé
Port 345		Fermé
Port 346		Fermé
Port 347		Fermé
Port 348		Fermé
Port 349		Fermé
Port 350		Fermé
Port 351		Fermé
Port 352		Fermé
Port 353		Fermé
Port 354		Fermé
Port 355		Fermé
Port 356		Fermé
Port 357		Fermé
Port 358		Fermé
Port 359		Fermé
Port 360		Fermé
Port 361		Fermé
Port 362		Fermé
Port 363		Fermé
Port 364		Fermé
Port 365		Fermé
Port 366		Fermé
Port 367		Fermé
Port 368		Fermé
Port 369		Fermé
Port 370		Fermé
Port 371		Fermé
Port 372		Fermé
Port 373		Fermé
Port 374		Fermé
Port 375		Fermé
Port 376		Fermé
Port 377		Fermé
Port 378		Fermé
Port 379		Fermé
Port 380		Fermé
Port 381		Fermé
Port 382		Fermé
Port 383		Fermé
Port 384		Fermé
Port 385		Fermé
Port 386		Fermé
Port 387		Fermé
Port 388		Fermé
Port 389		Fermé
Port 390		Fermé
Port 391		Fermé
Port 392		Fermé
Port 393		Fermé
Port 394		Fermé
Port 395		Fermé
Port 396		Fermé
Port 397		Fermé
Port 398		Fermé
Port 399		Fermé
Port 400		Fermé
Port 401		Fermé
Port 402		Fermé
Port 403		Fermé
Port 404		Fermé
Port 405		Fermé
Port 406		Fermé
Port 407		Fermé
Port 408		Fermé
Port 409		Fermé
Port 410		Fermé
Port 411		Fermé
Port 412		Fermé
Port 413		Fermé
Port 414		Fermé
Port 415		Fermé
Port 416		Fermé
Port 417		Fermé
Port 418		Fermé
Port 419		Fermé
Port 420		Fermé
Port 421		Fermé
Port 422		Fermé
Port 423		Fermé
Port 424		Fermé
Port 425		Fermé
Port 426		Fermé
Port 427		Fermé
Port 428		Fermé
Port 429		Fermé
Port 430		Fermé
Port 431		Fermé
Port 432		Fermé
Port 433		Fermé
Port 434		Fermé
Port 435		Fermé
Port 436		Fermé
Port 437		Fermé
Port 438		Fermé
Port 439		Fermé
Port 440		Fermé
Port 441		Fermé
Port 442		Fermé
Port 443		Fermé
Port 444		Fermé
Port 445		Fermé
Port 446		Fermé
Port 447		Fermé
Port 448		Fermé
Port 449		Fermé
Port 450		Fermé
Port 451		Fermé
Port 452		Fermé
Port 453		Fermé
Port 454		Fermé
Port 455		Fermé
Port 456		Fermé
Port 457		Fermé
Port 458		Fermé
Port 459		Fermé
Port 460		Fermé
Port 461		Fermé
Port 462		Fermé
Port 463		Fermé
Port 464		Fermé
Port 465		Fermé
Port 466		Fermé
Port 467		Fermé
Port 468		Fermé
Port 469		Fermé
Port 470		Fermé
Port 471		Fermé
Port 472		Fermé
Port 473		Fermé
Port 474		Fermé
Port 475		Fermé
Port 476		Fermé
Port 477		Fermé
Port 478		Fermé
Port 479		Fermé
Port 480		Fermé
Port 481		Fermé
Port 482		Fermé
Port 483		Fermé
Port 484		Fermé
Port 485		Fermé
Port 486		Fermé
Port 487		Fermé
Port 488		Fermé
Port 489		Fermé
Port 490		Fermé
Port 491		Fermé
Port 492		Fermé
Port 493		Fermé
Port 494		Fermé
Port 495		Fermé
Port 496		Fermé
Port 497		Fermé
Port 498		Fermé
Port 499		Fermé
Port 500		Fermé
Port 501		Fermé
Port 502		Fermé
Port 503		Fermé
Port 504		Fermé
Port 505		Fermé
Port 506		Fermé
Port 507		Fermé
Port 508		Fermé
Port 509		Fermé
Port 510		Fermé
Port 511		Fermé
Port 512		Fermé
Port 513		Fermé
Port 514		Fermé
Port 515		Fermé
Port 516		Fermé
Port 517		Fermé
Port 518		Fermé
Port 519		Fermé
Port 520		Fermé
Port 521		Fermé
Port 522		Fermé
Port 523		Fermé
Port 524		Fermé
Port 525		Fermé
Port 526		Fermé
Port 527		Fermé
Port 528		Fermé
Port 529		Fermé
Port 530		Fermé
Port 531		Fermé
