Début du scan avec comme paramètres : 
Protocole : TCP		 Nom d'hôte : boobagump.fr
Port de début : 1		 Timeout Max. socket : 2
Port de fin : 100		 Execution parallèle : Désactivé

Port 1		Fermé
Port 2		Fermé
Port 3		Fermé
Port 4		Fermé
Port 5		Fermé
Port 6		Fermé
Port 7		Fermé
Port 8		Fermé
Port 9		Fermé
Port 10		Fermé
Port 11		Fermé
Port 12		Fermé
Port 13		Fermé
Port 14		Fermé
Port 15		Fermé
Port 16		Fermé
Port 17		Fermé
Port 18		Fermé
Port 19		Fermé
Port 20		Fermé
Port 21		Fermé
Port 22		Ouvert
Port 23		Fermé
Port 24		Fermé
Port 25		Fermé
Port 26		Fermé
Port 27		Fermé
Port 28		Fermé
Port 29		Fermé
Port 30		Fermé
Port 31		Fermé
Port 32		Fermé
Port 33		Fermé
Port 34		Fermé
Port 35		Fermé
Port 36		Fermé
Port 37		Fermé
Port 38		Fermé
Port 39		Fermé
Port 40		Fermé
Port 41		Fermé
Port 42		Fermé
Port 43		Fermé
Port 44		Fermé
Port 45		Fermé
Port 46		Fermé
Port 47		Fermé
Port 48		Fermé
Port 49		Fermé
Port 50		Fermé
Port 51		Fermé
Port 52		Fermé
Port 53		Fermé
Port 54		Fermé
Port 55		Fermé
Port 56		Fermé
Port 57		Fermé
Port 58		Fermé
Port 59		Fermé
Port 60		Fermé
Port 61		Fermé
Port 62		Fermé
Port 63		Fermé
Port 64		Fermé
Port 65		Fermé
Port 66		Fermé
Port 67		Fermé
Port 68		Fermé
Port 69		Fermé
Port 70		Fermé
Port 71		Fermé
Port 72		Fermé
Port 73		Fermé
Port 74		Fermé
Port 75		Fermé
Port 76		Fermé
Port 77		Fermé
Port 78		Fermé
Port 79		Fermé
Port 80		Ouvert
Port 81		Fermé
Port 82		Fermé
Port 83		Fermé
Port 84		Fermé
Port 85		Fermé
Port 86		Fermé
Port 87		Fermé
Port 88		Fermé
Port 89		Fermé
Port 90		Fermé
Port 91		Fermé
Port 92		Fermé
Port 93		Fermé
Port 94		Fermé
Port 95		Fermé
Port 96		Fermé
Port 97		Fermé
Port 98		Fermé
Port 99		Fermé
Port 100		Fermé
2023-04-12 15:31:28.316881	Temps total d'éxécution : 0:03:16
