Début du scan avec comme paramètres : 
Protocole : UDP		 Nom d'hôte : 127.0.0.1
Port de début : 1		 Timeout Max. socket : 2
Port de fin : 65000		 Execution parallèle : 250 threads

Port 1		Ouvert
Port 11		Ouvert
Port 2		Ouvert
Port 21		Ouvert
Port 12		Ouvert
Port 3		Ouvert
Port 31		Ouvert
Port 41		Ouvert
Port 51		Ouvert
Port 4		Ouvert
Port 22		Ouvert
Port 61		Ouvert
Port 71		Ouvert
Port 42		Ouvert
Port 32		Ouvert
Port 23		Ouvert
Port 91		Ouvert
Port 81		Ouvert
Port 101		Ouvert
Port 62		Ouvert
Port 33		Ouvert
Port 5		Ouvert
Port 13		Ouvert
Port 111		Ouvert
Port 121		Ouvert
Port 24		Ouvert
Port 92		Ouvert
Port 131		Ouvert
Port 141		Ouvert
Port 151		Ouvert
Port 63		Ouvert
Port 43		Ouvert
Port 34		Ouvert
Port 161		Ouvert
Port 171		Ouvert
Port 112		Ouvert
Port 122		Ouvert
Port 6		Ouvert
Port 181		Ouvert
Port 25		Ouvert
Port 191		Ouvert
Port 52		Ouvert
Port 132		Ouvert
Port 152		Ouvert
Port 201		Ouvert
Port 64		Ouvert
Port 35		Ouvert
Port 211		Ouvert
Port 231		Ouvert
Port 221		Ouvert
Port 82		Ouvert
Port 113		Ouvert
Port 172		Ouvert
Port 182		Ouvert
Port 241		Ouvert
Port 26		Ouvert
Port 7		Ouvert
Port 14		Ouvert
Port 251		Ouvert
Port 133		Ouvert
Port 153		Ouvert
Port 261		Ouvert
Port 162		Ouvert
Port 271		Ouvert
Port 212		Ouvert
Port 102		Ouvert
Port 281		Ouvert
Port 123		Ouvert
Port 301		Ouvert
Port 291		Ouvert
Port 311		Ouvert
Port 222		Ouvert
Port 83		Ouvert
Port 331		Ouvert
Port 192		Ouvert
Port 321		Ouvert
Port 72		Ouvert
Port 341		Ouvert
Port 242		Ouvert
Port 15		Ouvert
Port 27		Ouvert
Port 351		Ouvert
Port 252		Ouvert
Port 361		Ouvert
Port 154		Ouvert
Port 371		Ouvert
Port 134		Ouvert
Port 163		Ouvert
Port 401		Ouvert
Port 391		Ouvert
Port 36		Ouvert
Port 381		Ouvert
Port 232		Ouvert
Port 213		Ouvert
Port 282		Ouvert
Port 411		Ouvert
Port 114		Ouvert
Port 421		Ouvert
Port 302		Ouvert
Port 431		Ouvert
Port 312		Ouvert
Port 183		Ouvert
Port 441		Ouvert
Port 451		Ouvert
Port 332		Ouvert
Port 471		Ouvert
Port 481		Ouvert
Port 8		Ouvert
Port 461		Ouvert
Port 342		Ouvert
Port 44		Ouvert
Port 322		Ouvert
Port 16		Ouvert
Port 491		Ouvert
Port 501		Ouvert
Port 65		Ouvert
Port 511		Ouvert
Port 352		Ouvert
Port 521		Ouvert
Port 531		Ouvert
Port 362		Ouvert
Port 541		Ouvert
Port 551		Ouvert
Port 372		Ouvert
Port 561		Ouvert
Port 571		Ouvert
Port 581		Ouvert
Port 272		Ouvert
Port 591		Ouvert
Port 601		Ouvert
Port 164		Ouvert
Port 103		Ouvert
Port 37		Ouvert
Port 142		Ouvert
Port 611		Ouvert
Port 115		Ouvert
Port 621		Ouvert
Port 233		Ouvert
Port 283		Ouvert
Port 292		Ouvert
Port 84		Ouvert
Port 422		Ouvert
Port 631		Ouvert
Port 313		Ouvert
Port 641		Ouvert
Port 193		Ouvert
Port 73		Ouvert
Port 651		Ouvert
Port 452		Ouvert
Port 472		Ouvert
Port 661		Ouvert
Port 482		Ouvert
Port 9		Ouvert
Port 28		Ouvert
Port 671		Ouvert
Port 45		Ouvert
Port 262		Ouvert
Port 681		Ouvert
Port 17		Ouvert
Port 691		Ouvert
Port 512		Ouvert
Port 502		Ouvert
Port 711		Ouvert
Port 701		Ouvert
Port 721		Ouvert
Port 353		Ouvert
Port 731		Ouvert
Port 135		Ouvert
Port 363		Ouvert
Port 93		Ouvert
Port 373		Ouvert
Port 572		Ouvert
Port 741		Ouvert
Port 751		Ouvert
Port 562		Ouvert
Port 771		Ouvert
Port 592		Ouvert
Port 273		Ouvert
Port 761		Ouvert
Port 214		Ouvert
Port 38		Ouvert
Port 165		Ouvert
Port 781		Ouvert
Port 791		Ouvert
Port 612		Ouvert
Port 801		Ouvert
Port 412		Ouvert
Port 116		Ouvert
Port 811		Ouvert
Port 821		Ouvert
Port 234		Ouvert
Port 432		Ouvert
Port 831		Ouvert
Port 841		Ouvert
Port 284		Ouvert
Port 851		Ouvert
Port 423		Ouvert
Port 632		Ouvert
Port 861		Ouvert
Port 314		Ouvert
Port 53		Ouvert
Port 871		Ouvert
Port 243		Ouvert
Port 881		Ouvert
Port 74		Ouvert
Port 891		Ouvert
Port 652		Ouvert
Port 901		Ouvert
Port 911		Ouvert
Port 462		Ouvert
Port 483		Ouvert
Port 473		Ouvert
Port 921		Ouvert
Port 323		Ouvert
Port 931		Ouvert
Port 672		Ouvert
Port 492		Ouvert
Port 263		Ouvert
Port 941		Ouvert
Port 18		Ouvert
Port 692		Ouvert
Port 522		Ouvert
Port 532		Ouvert
Port 542		Ouvert
Port 702		Ouvert
Port 552		Ouvert
Port 961		Ouvert
Port 354		Ouvert
Port 951		Ouvert
Port 582		Ouvert
Port 971		Ouvert
Port 392		Ouvert
Port 981		Ouvert
Port 94		Ouvert
Port 752		Ouvert
Port 1001		Ouvert
Port 991		Ouvert
Port 573		Ouvert
Port 1011		Ouvert
Port 1021		Ouvert
Port 124		Ouvert
Port 563		Ouvert
Port 593		Ouvert
Port 104		Ouvert
Port 1031		Ouvert
Port 173		Ouvert
Port 143		Ouvert
Port 1041		Ouvert
Port 223		Ouvert
Port 1051		Ouvert
Port 613		Ouvert
Port 166		Ouvert
Port 622		Ouvert
Port 1061		Ouvert
Port 1071		Ouvert
Port 1081		Ouvert
Port 117		Ouvert
Port 1091		Ouvert
Port 303		Ouvert
Port 822		Ouvert
Port 1101		Ouvert
Port 1111		Ouvert
Port 184		Ouvert
Port 1121		Ouvert
Port 85		Ouvert
Port 442		Ouvert
Port 1131		Ouvert
Port 285		Ouvert
Port 852		Ouvert
Port 1141		Ouvert
Port 633		Ouvert
Port 1151		Ouvert
Port 1161		Ouvert
Port 1171		Ouvert
Port 862		Ouvert
Port 1181		Ouvert
Port 194		Ouvert
Port 1191		Ouvert
Port 1201		Ouvert
Port 202		Ouvert
Port 1211		Ouvert
Port 244		Ouvert
Port 1221		Ouvert
Port 892		Ouvert
Port 872		Ouvert
Port 902		Ouvert
Port 1231		Ouvert
Port 1241		Ouvert
Port 1251		Ouvert
Port 662		Ouvert
Port 1281		Ouvert
Port 1271		Ouvert
Port 1261		Ouvert
Port 912		Ouvert
Port 1291		Ouvert
Port 463		Ouvert
Port 253		Ouvert
Port 922		Ouvert
Port 932		Ouvert
Port 1301		Ouvert
Port 1311		Ouvert
Port 1321		Ouvert
Port 66		Ouvert
Port 1331		Ouvert
Port 673		Ouvert
Port 1341		Ouvert
Port 942		Ouvert
Port 1351		Ouvert
Port 1361		Ouvert
Port 19		Ouvert
Port 523		Ouvert
Port 264		Ouvert
Port 402		Ouvert
Port 1371		Ouvert
Port 712		Ouvert
Port 1391		Ouvert
Port 1411		Ouvert
Port 1401		Ouvert
Port 553		Ouvert
Port 1381		Ouvert
Port 703		Ouvert
Port 543		Ouvert
Port 583		Ouvert
Port 355		Ouvert
Port 1421		Ouvert
Port 972		Ouvert
Port 382		Ouvert
Port 1431		Ouvert
Port 1441		Ouvert
Port 1451		Ouvert
Port 374		Ouvert
Port 1461		Ouvert
Port 992		Ouvert
Port 772		Ouvert
Port 95		Ouvert
